region,sentMword_list,sentMword_prod,sentMword_read,LBJ
323,0.4388025563,0.3572125146,0.3940640627,0.4162305227
324,0.3905336634,0.3300596706,0.3173047093,1.2451072697
325,0.0480543525,0.104772186,-0.029184962,0.982111681
326,0.1815346628,0.1565094704,0.0395778781,0.9420135551
327,0.5988822752,0.7707779161,0.6783321183,1.3609903151
328,0.5813478903,0.7799284373,0.6403502238,2.2922089411
329,0.4406324039,0.3467146667,0.3487240537,1.0617188149
330,0.410092389,0.3070110325,0.2670793113,2.2026455843
331,0.1337955961,0.1960461195,0.2025190399,0.3008081425
332,0.1542565665,0.2729041956,0.1822451145,0.3327898554
333,0.1098354673,0.1297104503,0.0559913498,0.8186199927
334,0.1633824797,0.3375566879,0.1316625118,0.654134459
335,0.1748959783,0.2445105165,0.1276585067,1.457385549
336,0.2148077413,0.3291422071,0.1592708928,1.7221716224
337,0.5867848853,0.7212180063,0.5793036764,2.6945078266
338,0.5362936237,0.6036699671,0.5094836719,3.5360005518
339,0.4509326383,0.4529272798,0.3780075358,3.5790363162
340,0.4664535743,0.3739857891,0.2667483289,4.2857961151
341,0.1396284841,0.1201395708,0.2337391251,4.5522137075
342,0.2464692292,0.1169448547,0.2017430611,6.0231940171
343,-0.050197103,0.0004609925,0.160337976,5.0316730774
344,0.0611150096,-0.079820214,0.1035051495,5.6146185232
345,0.2386666606,0.2597060461,0.2960788167,2.2841854814
346,0.1766401588,0.0823270364,0.189101951,2.8395313893
347,-0.033481734,0.064061055,-0.097716812,-0.225882798
348,-0.064530021,-0.01507556,-0.128924217,0.1842565851
349,-0.031384636,0.0087405505,-0.086162193,-0.497902904
350,-0.023590503,-0.035390057,-0.053755936,-0.853404755
351,-0.009346101,0.212022854,-0.105228024,2.2623178997
352,-0.023420523,0.1456421618,-0.096122794,2.29431918
353,-0.089863483,0.0507607197,-0.151260826,-0.657452217
354,0.0399774117,0.1524602075,-0.026852447,-0.545552958
355,-0.03024788,0.599938518,-0.068354312,3.3050914618
356,0.1342381155,0.796770975,0.1812625985,2.9419911494
357,-0.06667864,0.2736629055,-0.08400027,-0.622950227
358,0.1026303831,0.4626518449,0.1567433172,-0.904379599
359,-0.111019555,-0.113099236,-0.116885739,-2.761863513
360,0.0706803078,0.347996735,0.1281469652,-2.733342933
361,-0.01208679,0.1307226594,-0.036588662,2.4890060219
362,0.0323285137,0.2005981383,-0.00372628,2.2661318941
363,0.081902746,0.284244557,0.0850915921,2.7760731751
364,0.0358063562,0.1017427425,0.0132389043,2.9681448416
365,0.074246295,0.1103324065,0.1007649322,2.351846192
366,0.0027969933,-0.087820279,-0.005801259,2.1426367
367,0.1984268478,0.7978670512,0.2128870675,3.9359054454
368,0.2157412787,0.7702463422,0.2432565738,1.9618646861
369,0.0292137082,0.8370340216,0.0618715748,2.3852387676
370,-0.023400841,0.6184668541,0.0298010165,2.6271011914
371,0.0201970965,0.2318732256,0.0590851779,2.5297401997
372,0.1483246043,0.4885947488,0.2681917708,1.5917933893
373,0.4046080724,1.2909444497,0.5807011411,2.4943227673
374,0.1983036372,0.936357173,0.3702986936,3.1380785574
375,0.1144027313,0.3031208059,0.1402098767,3.6353958435
376,0.0971972382,0.2667266864,0.1229362037,3.5261925468
377,-0.100832272,0.0913934698,-0.204963507,1.5865431475
378,-0.009916405,0.1913568394,-0.08658277,2.1933911975
379,0.0860683626,0.34571175,0.0226740724,0.6151859027
380,0.0311782899,0.1955097926,0.0084199208,1.5771451868
381,0.0225558359,0.6029260504,-0.021471688,-1.321808555
382,-0.02185571,0.5987182174,-0.06192183,-1.525888918
383,0.1289284383,0.2605853338,0.1022106763,3.1662760319
384,0.1428874548,0.4209180802,0.1790139015,3.0062746682
